Date : 2023-04-22 13:35:07
Directory : /Users/wik/Desktop/Developer/python
Total : 486 files,  41434 codes, 1186 comments, 3120 blanks, all 45740 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/djangoCourse/urls.py                                                | Python   |         10 |         15 |          3 |         28 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/djangoCourse/wsgi.py                                                | Python   |          4 |          8 |          5 |         17 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/manage.py                                                           | Python   |         15 |          3 |          5 |         23 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/pages/__init__.py                                                   | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/pages/admin.py                                                      | Python   |          1 |          1 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/pages/apps.py                                                       | Python   |          4 |          0 |          3 |          7 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/pages/migrations/__init__.py                                        | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/pages/models.py                                                     | Python   |          1 |          1 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/pages/tests.py                                                      | Python   |          1 |          1 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/pages/views.py                                                      | Python   |         14 |          3 |          6 |         23 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/__init__.py                                                | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/admin.py                                                   | Python   |          3 |          0 |          3 |          6 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/apps.py                                                    | Python   |          4 |          0 |          3 |          7 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/forms.py                                                   | Python   |         25 |          1 |          8 |         34 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/migrations/0001_initial.py                                 | Python   |         16 |          1 |          7 |         24 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/migrations/0002_product_istrue.py                          | Python   |         13 |          1 |          6 |         20 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/migrations/0003_remove_product_istrue.py                   | Python   |         11 |          1 |          6 |         18 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/migrations/0004_product_istrue.py                          | Python   |         12 |          1 |          6 |         19 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/migrations/__init__.py                                     | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/models.py                                                  | Python   |          9 |          2 |          5 |         16 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/templates/products/product_create.html                     | HTML     |         10 |          0 |          6 |         16 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/templates/products/product_delete.html                     | HTML     |          9 |          0 |          2 |         11 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/templates/products/product_detail.html                     | HTML     |         10 |          0 |          2 |         12 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/templates/products/product_list.html                       | HTML     |         11 |          0 |          2 |         13 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/tests.py                                                   | Python   |          1 |          1 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/urls.py                                                    | Python   |         11 |          0 |          3 |         14 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/products/views.py                                                   | Python   |         37 |         20 |         12 |         69 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/templates/base.html                                                 | HTML     |         15 |          1 |          6 |         22 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/templates/contact.html                                              | HTML     |          8 |          0 |          3 |         11 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/templates/home.html                                                 | HTML     |         16 |          1 |          4 |         21 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/templates/menu.html                                                 | HTML     |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/FLASK/test/main.py                                                                        | Python   |          7 |          0 |          6 |         13 |
| /Users/wik/Desktop/Developer/python/FLASK/test/static/css/style.css                                                           | CSS      |          6 |          0 |          1 |          7 |
| /Users/wik/Desktop/Developer/python/FLASK/test/templates/index.html                                                           | HTML     |         21 |          0 |          5 |         26 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/1_hello/.idea/1_hello.iml                                               | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/1_hello/.idea/inspectionProfiles/Project_Default.xml                    | XML      |         10 |          0 |          0 |         10 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/1_hello/.idea/inspectionProfiles/profiles_settings.xml                  | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/1_hello/.idea/misc.xml                                                  | XML      |          4 |          0 |          0 |          4 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/1_hello/.idea/modules.xml                                               | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/1_hello/main.py                                                         | Python   |          8 |          0 |          5 |         13 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/2_buttons/.idea/2_buttons.iml                                           | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/2_buttons/.idea/inspectionProfiles/Project_Default.xml                  | XML      |         10 |          0 |          0 |         10 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/2_buttons/.idea/inspectionProfiles/profiles_settings.xml                | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/2_buttons/.idea/misc.xml                                                | XML      |          4 |          0 |          0 |          4 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/2_buttons/.idea/modules.xml                                             | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/2_buttons/.idea/vcs.xml                                                 | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/2_buttons/main.py                                                       | Python   |         36 |         11 |         16 |         63 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/3_buttons_span_column/.idea/3_buttons_span_column.iml                   | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/3_buttons_span_column/.idea/inspectionProfiles/Project_Default.xml      | XML      |         10 |          0 |          0 |         10 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/3_buttons_span_column/.idea/inspectionProfiles/profiles_settings.xml    | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/3_buttons_span_column/.idea/misc.xml                                    | XML      |          4 |          0 |          0 |          4 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/3_buttons_span_column/.idea/modules.xml                                 | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/3_buttons_span_column/.idea/vcs.xml                                     | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/3_buttons_span_column/main.py                                           | Python   |         39 |         13 |         21 |         73 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/4_height/.idea/4_height.iml                                             | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/4_height/.idea/inspectionProfiles/Project_Default.xml                   | XML      |         10 |          0 |          0 |         10 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/4_height/.idea/inspectionProfiles/profiles_settings.xml                 | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/4_height/.idea/misc.xml                                                 | XML      |          4 |          0 |          0 |          4 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/4_height/.idea/modules.xml                                              | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/4_height/.idea/vcs.xml                                                  | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/4_height/main.py                                                        | Python   |         40 |         15 |         21 |         76 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/5_kivy_design/.idea/5_kivy_design.iml                                   | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/5_kivy_design/.idea/inspectionProfiles/Project_Default.xml              | XML      |         10 |          0 |          0 |         10 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/5_kivy_design/.idea/inspectionProfiles/profiles_settings.xml            | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/5_kivy_design/.idea/misc.xml                                            | XML      |          4 |          0 |          0 |          4 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/5_kivy_design/.idea/modules.xml                                         | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/5_kivy_design/.idea/vcs.xml                                             | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/5_kivy_design/main.py                                                   | Python   |         21 |          3 |          9 |         33 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/przejscia_ekranu/.idea/inspectionProfiles/Project_Default.xml           | XML      |         10 |          0 |          0 |         10 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/przejscia_ekranu/.idea/inspectionProfiles/profiles_settings.xml         | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/przejscia_ekranu/.idea/misc.xml                                         | XML      |          4 |          0 |          0 |          4 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/przejscia_ekranu/.idea/modules.xml                                      | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/przejscia_ekranu/.idea/przejscia_ekranu.iml                             | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/przejscia_ekranu/.idea/vcs.xml                                          | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/learning/przejscia_ekranu/main.py                                                | Python   |         14 |          2 |          9 |         25 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/ping_pong/.idea/3_ping_pong.iml                                                  | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/ping_pong/.idea/inspectionProfiles/Project_Default.xml                           | XML      |         10 |          0 |          0 |         10 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/ping_pong/.idea/inspectionProfiles/profiles_settings.xml                         | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/ping_pong/.idea/misc.xml                                                         | XML      |          4 |          0 |          0 |          4 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/ping_pong/.idea/modules.xml                                                      | XML      |          8 |          0 |          0 |          8 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/ping_pong/.idea/vcs.xml                                                          | XML      |          6 |          0 |          0 |          6 |
| /Users/wik/Desktop/Developer/python/GUI/KIVY/ping_pong/main.py                                                                | Python   |         56 |          9 |         20 |         85 |
| /Users/wik/Desktop/Developer/python/GUI/PYSIMPLEGUI/other/1.py                                                                | Python   |         13 |          0 |          6 |         19 |
| /Users/wik/Desktop/Developer/python/GUI/PYSIMPLEGUI/other/gallery.py                                                          | Python   |         50 |          0 |         18 |         68 |
| /Users/wik/Desktop/Developer/python/GUI/PYSIMPLEGUI/sudoku_solver/main.py                                                     | Python   |        118 |          1 |         35 |        154 |
| /Users/wik/Desktop/Developer/python/GUI/README.md                                                                             | Markdown |          1 |          0 |          0 |          1 |
| /Users/wik/Desktop/Developer/python/GUI/TKINTER/1.py                                                                          | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/HELP/README.md                                                                            | Markdown |          1 |          0 |          0 |          1 |
| /Users/wik/Desktop/Developer/python/HELP/TUTORIALS/LOCAL JUPYTER.py                                                           | Python   |          4 |          4 |          5 |         13 |
| /Users/wik/Desktop/Developer/python/HELP/TUTORIALS/NOTEBOOK/binary_search.py                                                  | Python   |          7 |          6 |          4 |         17 |
| /Users/wik/Desktop/Developer/python/HELP/TUTORIALS/NOTEBOOK/diagnose slow python code/diagnose slow python code.py            | Python   |         15 |          2 |          8 |         25 |
| /Users/wik/Desktop/Developer/python/HELP/TUTORIALS/NOTEBOOK/map_filter_zip.py                                                 | Python   |          8 |          5 |          6 |         19 |
| /Users/wik/Desktop/Developer/python/HELP/TUTORIALS/NOTEBOOK/string_manipulation.py                                            | Python   |          3 |          0 |          1 |          4 |
| /Users/wik/Desktop/Developer/python/HELP/TUTORIALS/json/items.json                                                            | JSON     |         10 |          0 |          0 |         10 |
| /Users/wik/Desktop/Developer/python/HELP/TUTORIALS/json/itemsNew.json                                                         | JSON     |         10 |          0 |          0 |         10 |
| /Users/wik/Desktop/Developer/python/HELP/TUTORIALS/json/main.py                                                               | Python   |          9 |          5 |          7 |         21 |
| /Users/wik/Desktop/Developer/python/HELP/how_many_python_files.py                                                             | Python   |          7 |          0 |          4 |         11 |
| /Users/wik/Desktop/Developer/python/HELP/test.py                                                                              | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/MATPLOTLIB/README.md                                                                      | Markdown |          1 |          0 |          0 |          1 |
| /Users/wik/Desktop/Developer/python/MATPLOTLIB/main.py                                                                        | Python   |         40 |         22 |         29 |         91 |
| /Users/wik/Desktop/Developer/python/MATPLOTLIB/other/c.py                                                                     | Python   |          4 |          0 |          0 |          4 |
| /Users/wik/Desktop/Developer/python/ML/LINEAR_REGRESSION/first_project_with_excel/main.py                                     | Python   |         11 |          8 |         13 |         32 |
| /Users/wik/Desktop/Developer/python/ML/LINEAR_REGRESSION/linear_regression/main.py                                            | Python   |          8 |          4 |          8 |         20 |
| /Users/wik/Desktop/Developer/python/ML/PYTORCH/learning/1.py                                                                  | Python   |          1 |          1 |          1 |          3 |
| /Users/wik/Desktop/Developer/python/ML/README.md                                                                              | Markdown |          1 |          0 |          0 |          1 |
| /Users/wik/Desktop/Developer/python/ML/classify images of clothes MNIST/main.py                                               | Python   |        106 |         32 |         33 |        171 |
| /Users/wik/Desktop/Developer/python/ML/test/1 stproject/main.py                                                               | Python   |         17 |         14 |         15 |         46 |
| /Users/wik/Desktop/Developer/python/ML/test/2 MAE - Model Validation/main.py                                                  | Python   |         28 |         18 |         23 |         69 |
| /Users/wik/Desktop/Developer/python/ML/test/3 random forest/main.py                                                           | Python   |         32 |          8 |         18 |         58 |
| /Users/wik/Desktop/Developer/python/ML/test/4 tests linear/main.py                                                            | Python   |         11 |          8 |          9 |         28 |
| /Users/wik/Desktop/Developer/python/PANDAS/1/main.py                                                                          | Python   |          3 |          2 |          4 |          9 |
| /Users/wik/Desktop/Developer/python/PANDAS/README.md                                                                          | Markdown |          1 |          0 |          0 |          1 |
| /Users/wik/Desktop/Developer/python/PROJECTS/FASTAPI/main.py                                                                  | Python   |         41 |          2 |         18 |         61 |
| /Users/wik/Desktop/Developer/python/PROJECTS/FizzBuzz/main.py                                                                 | Python   |         11 |          0 |          3 |         14 |
| /Users/wik/Desktop/Developer/python/PROJECTS/MATRIX/matrix_operations/main.py                                                 | Python   |         60 |          0 |         21 |         81 |
| /Users/wik/Desktop/Developer/python/PROJECTS/MATRIX/matrix_rotate/main.py                                                     | Python   |         37 |          0 |         14 |         51 |
| /Users/wik/Desktop/Developer/python/PROJECTS/MATRIX/matrix_to_img/main.py                                                     | Python   |         16 |          2 |          5 |         23 |
| /Users/wik/Desktop/Developer/python/PROJECTS/MULTIPROCESSING/main.py                                                          | Python   |         18 |          3 |          9 |         30 |
| /Users/wik/Desktop/Developer/python/PROJECTS/MULTIPROCESSING/test1.py                                                         | Python   |         19 |          1 |          6 |         26 |
| /Users/wik/Desktop/Developer/python/PROJECTS/MULTIPROCESSING/test2 - learning.py                                              | Python   |         27 |         12 |         17 |         56 |
| /Users/wik/Desktop/Developer/python/PROJECTS/MULTIPROCESSING/test3 - arr,value,lock.py                                        | Python   |         28 |          7 |         14 |         49 |
| /Users/wik/Desktop/Developer/python/PROJECTS/MULTIPROCESSING/test4 - pool.py                                                  | Python   |         13 |          3 |          7 |         23 |
| /Users/wik/Desktop/Developer/python/PROJECTS/README.md                                                                        | Markdown |          1 |          0 |          0 |          1 |
| /Users/wik/Desktop/Developer/python/PROJECTS/REGULAR_EXPRESSIONS/1.py                                                         | Python   |          6 |          6 |          3 |         15 |
| /Users/wik/Desktop/Developer/python/PROJECTS/aimBooster_bot/main.py                                                           | Python   |         20 |          1 |          9 |         30 |
| /Users/wik/Desktop/Developer/python/PROJECTS/api_test/main.py                                                                 | Python   |         13 |          0 |          6 |         19 |
| /Users/wik/Desktop/Developer/python/PROJECTS/argparse/main.py                                                                 | Python   |          7 |          4 |          7 |         18 |
| /Users/wik/Desktop/Developer/python/PROJECTS/array_random/array_random_delete.py                                              | Python   |         11 |          0 |          4 |         15 |
| /Users/wik/Desktop/Developer/python/PROJECTS/base64/main.py                                                                   | Python   |         10 |          0 |          7 |         17 |
| /Users/wik/Desktop/Developer/python/PROJECTS/binary_search/main.py                                                            | Python   |         20 |          0 |          7 |         27 |
| /Users/wik/Desktop/Developer/python/PROJECTS/box_of_numbers_squares/main.py                                                   | Python   |         45 |          1 |         16 |         62 |
| /Users/wik/Desktop/Developer/python/PROJECTS/caesar_cipher/main..py                                                           | Python   |         15 |          0 |          6 |         21 |
| /Users/wik/Desktop/Developer/python/PROJECTS/calendar/index.html                                                              | HTML     |         59 |          0 |          0 |         59 |
| /Users/wik/Desktop/Developer/python/PROJECTS/calendar/main.py                                                                 | Python   |         13 |          5 |         12 |         30 |
| /Users/wik/Desktop/Developer/python/PROJECTS/camera_cv2/main.py                                                               | Python   |         10 |          0 |          3 |         13 |
| /Users/wik/Desktop/Developer/python/PROJECTS/coin_problem/main.py                                                             | Python   |         13 |          3 |          4 |         20 |
| /Users/wik/Desktop/Developer/python/PROJECTS/context_manager_with-statement/main.py                                           | Python   |         11 |          0 |          5 |         16 |
| /Users/wik/Desktop/Developer/python/PROJECTS/counting/main.py                                                                 | Python   |         14 |          0 |          8 |         22 |
| /Users/wik/Desktop/Developer/python/PROJECTS/decorator/first_main.py                                                          | Python   |         11 |          1 |          6 |         18 |
| /Users/wik/Desktop/Developer/python/PROJECTS/decorator/second_main.py                                                         | Python   |         15 |          1 |          8 |         24 |
| /Users/wik/Desktop/Developer/python/PROJECTS/dict_as_switch_statement/main.py                                                 | Python   |         11 |          1 |          5 |         17 |
| /Users/wik/Desktop/Developer/python/PROJECTS/draw_diamond/main.py                                                             | Python   |         14 |          0 |          8 |         22 |
| /Users/wik/Desktop/Developer/python/PROJECTS/draw_function/linear_function.py                                                 | Python   |          7 |          0 |          3 |         10 |
| /Users/wik/Desktop/Developer/python/PROJECTS/draw_function/main.py                                                            | Python   |         33 |          0 |         16 |         49 |
| /Users/wik/Desktop/Developer/python/PROJECTS/draw_function/quadratic_function.py                                              | Python   |          7 |          0 |          3 |         10 |
| /Users/wik/Desktop/Developer/python/PROJECTS/dynamic_programming/main.py                                                      | Python   |         19 |          7 |          8 |         34 |
| /Users/wik/Desktop/Developer/python/PROJECTS/eulers_number/main.py                                                            | Python   |         24 |          0 |         12 |         36 |
| /Users/wik/Desktop/Developer/python/PROJECTS/face_detection/haarcascade_frontalface_default.xml                               | XML      |     33,271 |         43 |          0 |     33,314 |
| /Users/wik/Desktop/Developer/python/PROJECTS/face_detection/main.py                                                           | Python   |         14 |          6 |          7 |         27 |
| /Users/wik/Desktop/Developer/python/PROJECTS/factorial/main.py                                                                | Python   |          7 |          2 |          6 |         15 |
| /Users/wik/Desktop/Developer/python/PROJECTS/factorial/tempCodeRunnerFile.py                                                  | Python   |          1 |          0 |          0 |          1 |
| /Users/wik/Desktop/Developer/python/PROJECTS/factorial_recursive/main.py                                                      | Python   |          8 |          0 |          3 |         11 |
| /Users/wik/Desktop/Developer/python/PROJECTS/fractal_gen/main.py                                                              | Python   |         44 |         10 |         23 |         77 |
| /Users/wik/Desktop/Developer/python/PROJECTS/fractal_tree/main.py                                                             | Python   |         42 |          0 |         13 |         55 |
| /Users/wik/Desktop/Developer/python/PROJECTS/genius_random_song/main.py                                                       | Python   |        107 |         22 |         34 |        163 |
| /Users/wik/Desktop/Developer/python/PROJECTS/genius_random_song/search.py                                                     | Python   |         39 |          7 |         14 |         60 |
| /Users/wik/Desktop/Developer/python/PROJECTS/guess_a_number/game.py                                                           | Python   |         36 |          0 |          8 |         44 |
| /Users/wik/Desktop/Developer/python/PROJECTS/hangman/dist/game/Include/pyconfig.h                                             | C++      |        247 |        291 |        151 |        689 |
| /Users/wik/Desktop/Developer/python/PROJECTS/hangman/game.py                                                                  | Python   |         69 |         57 |         14 |        140 |
| /Users/wik/Desktop/Developer/python/PROJECTS/hangman/words.py                                                                 | Python   |         11 |          0 |          0 |         11 |
| /Users/wik/Desktop/Developer/python/PROJECTS/hanoi/main.py                                                                    | Python   |         11 |          0 |          5 |         16 |
| /Users/wik/Desktop/Developer/python/PROJECTS/hashlib/hash.py                                                                  | Python   |         30 |          3 |         18 |         51 |
| /Users/wik/Desktop/Developer/python/PROJECTS/hashlib/main.py                                                                  | Python   |          4 |          0 |          4 |          8 |
| /Users/wik/Desktop/Developer/python/PROJECTS/hidden_message/main.py                                                           | Python   |         44 |          1 |         19 |         64 |
| /Users/wik/Desktop/Developer/python/PROJECTS/instagram_profile_picture_download/main.py                                       | Python   |          4 |          0 |          3 |          7 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/1.py                                                         | Python   |         13 |          0 |          3 |         16 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/10.py                                                        | Python   |         19 |          1 |          7 |         27 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/11.py                                                        | Python   |          3 |          0 |          3 |          6 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/12.py                                                        | Python   |          3 |          1 |          4 |          8 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/13.py                                                        | Python   |          5 |          0 |          3 |          8 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/2.py                                                         | Python   |          3 |          0 |          4 |          7 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/3.py                                                         | Python   |         11 |          1 |          6 |         18 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/4.py                                                         | Python   |          8 |          1 |          3 |         12 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/5.py                                                         | Python   |         12 |          1 |          7 |         20 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/6.py                                                         | Python   |         17 |          0 |          3 |         20 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/7.py                                                         | Python   |          3 |          1 |          3 |          7 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/8.py                                                         | Python   |          2 |          0 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/PROJECTS/interview_questions/9.py                                                         | Python   |          5 |          1 |          4 |         10 |
| /Users/wik/Desktop/Developer/python/PROJECTS/jpg_to_ascii/main.py                                                             | Python   |         68 |         12 |         25 |        105 |
| /Users/wik/Desktop/Developer/python/PROJECTS/lines_and_dotes/kreski.py                                                        | Python   |         16 |          0 |          3 |         19 |
| /Users/wik/Desktop/Developer/python/PROJECTS/lines_and_dotes/test.py                                                          | Python   |          2 |          0 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/PROJECTS/linked_list/1.py                                                                 | Python   |         80 |          1 |         22 |        103 |
| /Users/wik/Desktop/Developer/python/PROJECTS/linked_list/main.py                                                              | Python   |         19 |          0 |          8 |         27 |
| /Users/wik/Desktop/Developer/python/PROJECTS/logging/main.py                                                                  | Python   |         13 |          5 |          6 |         24 |
| /Users/wik/Desktop/Developer/python/PROJECTS/martingale_strategy_roulette/main.py                                             | Python   |         30 |          1 |         10 |         41 |
| /Users/wik/Desktop/Developer/python/PROJECTS/match_statement/main.py                                                          | Python   |         11 |          0 |          3 |         14 |
| /Users/wik/Desktop/Developer/python/PROJECTS/md5_brute_force_password_cracker/faster_version.py                               | Python   |         22 |          0 |         12 |         34 |
| /Users/wik/Desktop/Developer/python/PROJECTS/md5_brute_force_password_cracker/main.py                                         | Python   |         25 |          0 |          7 |         32 |
| /Users/wik/Desktop/Developer/python/PROJECTS/median/main.py                                                                   | Python   |          8 |          0 |          3 |         11 |
| /Users/wik/Desktop/Developer/python/PROJECTS/password_generator/main.py                                                       | Python   |          7 |          1 |          3 |         11 |
| /Users/wik/Desktop/Developer/python/PROJECTS/perlin_noise/main.py                                                             | Python   |          7 |          0 |          3 |         10 |
| /Users/wik/Desktop/Developer/python/PROJECTS/ping_pong/main.py                                                                | Python   |         89 |          3 |         27 |        119 |
| /Users/wik/Desktop/Developer/python/PROJECTS/prime_numbers/main.py                                                            | Python   |         19 |          0 |          8 |         27 |
| /Users/wik/Desktop/Developer/python/PROJECTS/print_arrow/main.py                                                              | Python   |         39 |          4 |         10 |         53 |
| /Users/wik/Desktop/Developer/python/PROJECTS/qrCode/main.py                                                                   | Python   |          3 |          0 |          2 |          5 |
| /Users/wik/Desktop/Developer/python/PROJECTS/randint_test/main.py                                                             | Python   |         17 |          3 |          7 |         27 |
| /Users/wik/Desktop/Developer/python/PROJECTS/remove_above_under_mean/main.py                                                  | Python   |          9 |          2 |          6 |         17 |
| /Users/wik/Desktop/Developer/python/PROJECTS/simple_stock/main.py                                                             | Python   |          7 |          0 |          3 |         10 |
| /Users/wik/Desktop/Developer/python/PROJECTS/sort/main.py                                                                     | Python   |         10 |          7 |          9 |         26 |
| /Users/wik/Desktop/Developer/python/PROJECTS/sort/mergesort.py                                                                | Python   |         26 |          1 |         10 |         37 |
| /Users/wik/Desktop/Developer/python/PROJECTS/sort/sort_vs_sorted/main.py                                                      | Python   |         12 |          3 |          5 |         20 |
| /Users/wik/Desktop/Developer/python/PROJECTS/sort/test.py                                                                     | Python   |         28 |          1 |         16 |         45 |
| /Users/wik/Desktop/Developer/python/PROJECTS/sort_random_array_time/main.py                                                   | Python   |          9 |          0 |          5 |         14 |
| /Users/wik/Desktop/Developer/python/PROJECTS/spam_bot/main.py                                                                 | Python   |          8 |          0 |          4 |         12 |
| /Users/wik/Desktop/Developer/python/PROJECTS/sudoku_solver/main.py                                                            | Python   |         60 |          0 |         15 |         75 |
| /Users/wik/Desktop/Developer/python/PROJECTS/testy/pobieranie_rzeczy_z_api.py                                                 | Python   |          9 |          0 |          4 |         13 |
| /Users/wik/Desktop/Developer/python/PROJECTS/text_to_audio/main.py                                                            | Python   |          8 |          1 |          3 |         12 |
| /Users/wik/Desktop/Developer/python/PROJECTS/tolower/main.py                                                                  | Python   |          7 |          0 |          3 |         10 |
| /Users/wik/Desktop/Developer/python/PROJECTS/track_phone/main.py                                                              | Python   |         14 |          3 |          9 |         26 |
