Date : 2023-04-22 13:35:07
Directory : /Users/wik/Desktop/Developer/python
Total : 486 files,  41434 codes, 1186 comments, 3120 blanks, all 45740 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| DJANGO/courseFuncBase/templates                                                                                               |          4 |         47 |          2 |         13 |         62 |
| FLASK                                                                                                                         |          3 |         34 |          0 |         12 |         46 |
| FLASK/test                                                                                                                    |          3 |         34 |          0 |         12 |         46 |
| FLASK/test (Files)                                                                                                            |          1 |          7 |          0 |          6 |         13 |
| FLASK/test/static                                                                                                             |          1 |          6 |          0 |          1 |          7 |
| FLASK/test/static/css                                                                                                         |          1 |          6 |          0 |          1 |          7 |
| FLASK/test/templates                                                                                                          |          1 |         21 |          0 |          5 |         26 |
| GUI                                                                                                                           |         53 |        684 |         54 |        161 |        899 |
| GUI (Files)                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| GUI/KIVY                                                                                                                      |         48 |        502 |         53 |        101 |        656 |
| GUI/KIVY/learning                                                                                                             |         41 |        404 |         44 |         81 |        529 |
| GUI/KIVY/learning/1_hello                                                                                                     |          6 |         44 |          0 |          5 |         49 |
| GUI/KIVY/learning/1_hello (Files)                                                                                             |          1 |          8 |          0 |          5 |         13 |
| GUI/KIVY/learning/1_hello/.idea                                                                                               |          5 |         36 |          0 |          0 |         36 |
| GUI/KIVY/learning/1_hello/.idea (Files)                                                                                       |          3 |         20 |          0 |          0 |         20 |
| GUI/KIVY/learning/1_hello/.idea/inspectionProfiles                                                                            |          2 |         16 |          0 |          0 |         16 |
| GUI/KIVY/learning/2_buttons                                                                                                   |          7 |         78 |         11 |         16 |        105 |
| GUI/KIVY/learning/2_buttons (Files)                                                                                           |          1 |         36 |         11 |         16 |         63 |
| GUI/KIVY/learning/2_buttons/.idea                                                                                             |          6 |         42 |          0 |          0 |         42 |
| GUI/KIVY/learning/2_buttons/.idea (Files)                                                                                     |          4 |         26 |          0 |          0 |         26 |
| GUI/KIVY/learning/2_buttons/.idea/inspectionProfiles                                                                          |          2 |         16 |          0 |          0 |         16 |
| GUI/KIVY/learning/3_buttons_span_column                                                                                       |          7 |         81 |         13 |         21 |        115 |
| GUI/KIVY/learning/3_buttons_span_column (Files)                                                                               |          1 |         39 |         13 |         21 |         73 |
| GUI/KIVY/learning/3_buttons_span_column/.idea                                                                                 |          6 |         42 |          0 |          0 |         42 |
| GUI/KIVY/learning/3_buttons_span_column/.idea (Files)                                                                         |          4 |         26 |          0 |          0 |         26 |
| GUI/KIVY/learning/3_buttons_span_column/.idea/inspectionProfiles                                                              |          2 |         16 |          0 |          0 |         16 |
| GUI/KIVY/learning/4_height                                                                                                    |          7 |         82 |         15 |         21 |        118 |
| GUI/KIVY/learning/4_height (Files)                                                                                            |          1 |         40 |         15 |         21 |         76 |
| GUI/KIVY/learning/4_height/.idea                                                                                              |          6 |         42 |          0 |          0 |         42 |
| GUI/KIVY/learning/4_height/.idea (Files)                                                                                      |          4 |         26 |          0 |          0 |         26 |
| GUI/KIVY/learning/4_height/.idea/inspectionProfiles                                                                           |          2 |         16 |          0 |          0 |         16 |
| GUI/KIVY/learning/5_kivy_design                                                                                               |          7 |         63 |          3 |          9 |         75 |
| GUI/KIVY/learning/5_kivy_design (Files)                                                                                       |          1 |         21 |          3 |          9 |         33 |
| GUI/KIVY/learning/5_kivy_design/.idea                                                                                         |          6 |         42 |          0 |          0 |         42 |
| GUI/KIVY/learning/5_kivy_design/.idea (Files)                                                                                 |          4 |         26 |          0 |          0 |         26 |
| GUI/KIVY/learning/5_kivy_design/.idea/inspectionProfiles                                                                      |          2 |         16 |          0 |          0 |         16 |
| GUI/KIVY/learning/przejscia_ekranu                                                                                            |          7 |         56 |          2 |          9 |         67 |
| GUI/KIVY/learning/przejscia_ekranu (Files)                                                                                    |          1 |         14 |          2 |          9 |         25 |
| GUI/KIVY/learning/przejscia_ekranu/.idea                                                                                      |          6 |         42 |          0 |          0 |         42 |
| GUI/KIVY/learning/przejscia_ekranu/.idea (Files)                                                                              |          4 |         26 |          0 |          0 |         26 |
| GUI/KIVY/learning/przejscia_ekranu/.idea/inspectionProfiles                                                                   |          2 |         16 |          0 |          0 |         16 |
| GUI/KIVY/ping_pong                                                                                                            |          7 |         98 |          9 |         20 |        127 |
| GUI/KIVY/ping_pong (Files)                                                                                                    |          1 |         56 |          9 |         20 |         85 |
| GUI/KIVY/ping_pong/.idea                                                                                                      |          6 |         42 |          0 |          0 |         42 |
| GUI/KIVY/ping_pong/.idea (Files)                                                                                              |          4 |         26 |          0 |          0 |         26 |
| GUI/KIVY/ping_pong/.idea/inspectionProfiles                                                                                   |          2 |         16 |          0 |          0 |         16 |
| GUI/PYSIMPLEGUI                                                                                                               |          3 |        181 |          1 |         59 |        241 |
| GUI/PYSIMPLEGUI/other                                                                                                         |          2 |         63 |          0 |         24 |         87 |
| GUI/PYSIMPLEGUI/sudoku_solver                                                                                                 |          1 |        118 |          1 |         35 |        154 |
| GUI/TKINTER                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| HELP                                                                                                                          |         11 |         74 |         22 |         36 |        132 |
| HELP (Files)                                                                                                                  |          3 |          8 |          0 |          5 |         13 |
| HELP/TUTORIALS                                                                                                                |          8 |         66 |         22 |         31 |        119 |
| HELP/TUTORIALS (Files)                                                                                                        |          1 |          4 |          4 |          5 |         13 |
| HELP/TUTORIALS/NOTEBOOK                                                                                                       |          4 |         33 |         13 |         19 |         65 |
| HELP/TUTORIALS/NOTEBOOK (Files)                                                                                               |          3 |         18 |         11 |         11 |         40 |
| HELP/TUTORIALS/NOTEBOOK/diagnose slow python code                                                                             |          1 |         15 |          2 |          8 |         25 |
| HELP/TUTORIALS/json                                                                                                           |          3 |         29 |          5 |          7 |         41 |
| MATPLOTLIB                                                                                                                    |          3 |         45 |         22 |         29 |         96 |
| MATPLOTLIB (Files)                                                                                                            |          2 |         41 |         22 |         29 |         92 |
| MATPLOTLIB/other                                                                                                              |          1 |          4 |          0 |          0 |          4 |
| ML                                                                                                                            |          9 |        215 |         93 |        120 |        428 |
| ML (Files)                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| ML/LINEAR_REGRESSION                                                                                                          |          2 |         19 |         12 |         21 |         52 |
| ML/LINEAR_REGRESSION/first_project_with_excel                                                                                 |          1 |         11 |          8 |         13 |         32 |
| ML/LINEAR_REGRESSION/linear_regression                                                                                        |          1 |          8 |          4 |          8 |         20 |
| ML/PYTORCH                                                                                                                    |          1 |          1 |          1 |          1 |          3 |
| ML/PYTORCH/learning                                                                                                           |          1 |          1 |          1 |          1 |          3 |
| ML/classify images of clothes MNIST                                                                                           |          1 |        106 |         32 |         33 |        171 |
| ML/test                                                                                                                       |          4 |         88 |         48 |         65 |        201 |
| ML/test/1 stproject                                                                                                           |          1 |         17 |         14 |         15 |         46 |
| ML/test/2 MAE - Model Validation                                                                                              |          1 |         28 |         18 |         23 |         69 |
| ML/test/3 random forest                                                                                                       |          1 |         32 |          8 |         18 |         58 |
| ML/test/4 tests linear                                                                                                        |          1 |         11 |          8 |          9 |         28 |
| PANDAS                                                                                                                        |          2 |          4 |          2 |          4 |         10 |
| PANDAS (Files)                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| PANDAS/1                                                                                                                      |          1 |          3 |          2 |          4 |          9 |
| PROJECTS                                                                                                                      |        103 |     35,579 |        563 |        957 |     37,099 |
| PROJECTS (Files)                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| PROJECTS/FASTAPI                                                                                                              |          1 |         41 |          2 |         18 |         61 |
| PROJECTS/FizzBuzz                                                                                                             |          1 |         11 |          0 |          3 |         14 |
| PROJECTS/MATRIX                                                                                                               |          3 |        113 |          2 |         40 |        155 |
| PROJECTS/MATRIX/matrix_operations                                                                                             |          1 |         60 |          0 |         21 |         81 |
| PROJECTS/MATRIX/matrix_rotate                                                                                                 |          1 |         37 |          0 |         14 |         51 |
| PROJECTS/MATRIX/matrix_to_img                                                                                                 |          1 |         16 |          2 |          5 |         23 |
| PROJECTS/MULTIPROCESSING                                                                                                      |          5 |        105 |         26 |         53 |        184 |
| PROJECTS/REGULAR_EXPRESSIONS                                                                                                  |          1 |          6 |          6 |          3 |         15 |
| PROJECTS/aimBooster_bot                                                                                                       |          1 |         20 |          1 |          9 |         30 |
| PROJECTS/api_test                                                                                                             |          1 |         13 |          0 |          6 |         19 |
| PROJECTS/argparse                                                                                                             |          1 |          7 |          4 |          7 |         18 |
| PROJECTS/array_random                                                                                                         |          1 |         11 |          0 |          4 |         15 |
| PROJECTS/base64                                                                                                               |          1 |         10 |          0 |          7 |         17 |
| PROJECTS/binary_search                                                                                                        |          1 |         20 |          0 |          7 |         27 |
| PROJECTS/box_of_numbers_squares                                                                                               |          1 |         45 |          1 |         16 |         62 |
| PROJECTS/caesar_cipher                                                                                                        |          1 |         15 |          0 |          6 |         21 |
| PROJECTS/calendar                                                                                                             |          2 |         72 |          5 |         12 |         89 |
| PROJECTS/camera_cv2                                                                                                           |          1 |         10 |          0 |          3 |         13 |
| PROJECTS/coin_problem                                                                                                         |          1 |         13 |          3 |          4 |         20 |
| PROJECTS/context_manager_with-statement                                                                                       |          1 |         11 |          0 |          5 |         16 |
| PROJECTS/counting                                                                                                             |          1 |         14 |          0 |          8 |         22 |
| PROJECTS/decorator                                                                                                            |          2 |         26 |          2 |         14 |         42 |
| PROJECTS/dict_as_switch_statement                                                                                             |          1 |         11 |          1 |          5 |         17 |
| PROJECTS/draw_diamond                                                                                                         |          1 |         14 |          0 |          8 |         22 |
| PROJECTS/draw_function                                                                                                        |          3 |         47 |          0 |         22 |         69 |
| PROJECTS/dynamic_programming                                                                                                  |          1 |         19 |          7 |          8 |         34 |
| PROJECTS/eulers_number                                                                                                        |          1 |         24 |          0 |         12 |         36 |
| PROJECTS/face_detection                                                                                                       |          2 |     33,285 |         49 |          7 |     33,341 |
| PROJECTS/factorial                                                                                                            |          2 |          8 |          2 |          6 |         16 |
| PROJECTS/factorial_recursive                                                                                                  |          1 |          8 |          0 |          3 |         11 |
| PROJECTS/fractal_gen                                                                                                          |          1 |         44 |         10 |         23 |         77 |
| PROJECTS/fractal_tree                                                                                                         |          1 |         42 |          0 |         13 |         55 |
| PROJECTS/genius_random_song                                                                                                   |          2 |        146 |         29 |         48 |        223 |
| PROJECTS/guess_a_number                                                                                                       |          1 |         36 |          0 |          8 |         44 |
| PROJECTS/hangman                                                                                                              |          3 |        327 |        348 |        165 |        840 |
| PROJECTS/hangman (Files)                                                                                                      |          2 |         80 |         57 |         14 |        151 |
| PROJECTS/hangman/dist                                                                                                         |          1 |        247 |        291 |        151 |        689 |
| PROJECTS/hangman/dist/game                                                                                                    |          1 |        247 |        291 |        151 |        689 |
| PROJECTS/hangman/dist/game/Include                                                                                            |          1 |        247 |        291 |        151 |        689 |
| PROJECTS/hanoi                                                                                                                |          1 |         11 |          0 |          5 |         16 |
| PROJECTS/hashlib                                                                                                              |          2 |         34 |          3 |         22 |         59 |
| PROJECTS/hidden_message                                                                                                       |          1 |         44 |          1 |         19 |         64 |
| PROJECTS/instagram_profile_picture_download                                                                                   |          1 |          4 |          0 |          3 |          7 |
| PROJECTS/interview_questions                                                                                                  |         13 |        104 |          7 |         52 |        163 |
| PROJECTS/jpg_to_ascii                                                                                                         |          1 |         68 |         12 |         25 |        105 |
| PROJECTS/lines_and_dotes                                                                                                      |          2 |         18 |          0 |          5 |         23 |
| PROJECTS/linked_list                                                                                                          |          2 |         99 |          1 |         30 |        130 |
| PROJECTS/logging                                                                                                              |          1 |         13 |          5 |          6 |         24 |
| PROJECTS/martingale_strategy_roulette                                                                                         |          1 |         30 |          1 |         10 |         41 |
| PROJECTS/match_statement                                                                                                      |          1 |         11 |          0 |          3 |         14 |
| PROJECTS/md5_brute_force_password_cracker                                                                                     |          2 |         47 |          0 |         19 |         66 |
| PROJECTS/median                                                                                                               |          1 |          8 |          0 |          3 |         11 |
| PROJECTS/password_generator                                                                                                   |          1 |          7 |          1 |          3 |         11 |
| PROJECTS/perlin_noise                                                                                                         |          1 |          7 |          0 |          3 |         10 |
| PROJECTS/ping_pong                                                                                                            |          1 |         89 |          3 |         27 |        119 |
| PROJECTS/prime_numbers                                                                                                        |          1 |         19 |          0 |          8 |         27 |
| PROJECTS/print_arrow                                                                                                          |          1 |         39 |          4 |         10 |         53 |
| PROJECTS/qrCode                                                                                                               |          1 |          3 |          0 |          2 |          5 |
| PROJECTS/randint_test                                                                                                         |          1 |         17 |          3 |          7 |         27 |
| PROJECTS/remove_above_under_mean                                                                                              |          1 |          9 |          2 |          6 |         17 |
| PROJECTS/simple_stock                                                                                                         |          1 |          7 |          0 |          3 |         10 |
| PROJECTS/sort                                                                                                                 |          4 |         76 |         12 |         40 |        128 |
| PROJECTS/sort (Files)                                                                                                         |          3 |         64 |          9 |         35 |        108 |
| PROJECTS/sort/sort_vs_sorted                                                                                                  |          1 |         12 |          3 |          5 |         20 |
| PROJECTS/sort_random_array_time                                                                                               |          1 |          9 |          0 |          5 |         14 |
| PROJECTS/spam_bot                                                                                                             |          1 |          8 |          0 |          4 |         12 |
| PROJECTS/sudoku_solver                                                                                                        |          1 |         60 |          0 |         15 |         75 |
| PROJECTS/testy                                                                                                                |          1 |          9 |          0 |          4 |         13 |
| PROJECTS/text_to_audio                                                                                                        |          1 |          8 |          1 |          3 |         12 |
| PROJECTS/tolower                                                                                                              |          1 |          7 |          0 |          3 |         10 |
| PROJECTS/track_phone                                                                                                          |          1 |         14 |          3 |          9 |         26 |
| PROJECTS/translate                                                                                                            |          1 |          9 |          0 |          5 |         14 |
| PROJECTS/tree_find_path_folders                                                                                               |          1 |         30 |          1 |         13 |         44 |
| PROJECTS/typing_python_comprehension                                                                                          |          1 |         23 |          0 |          8 |         31 |
| PROJECTS/unv                                                                                                                  |          1 |         24 |          5 |         10 |         39 |
| PROJECTS/words_in_songs_counter                                                                                               |          1 |         14 |          0 |          7 |         21 |
| PROJECTS/yt_downloader                                                                                                        |          1 |         25 |          0 |          7 |         32 |
| PYGAME                                                                                                                        |         12 |        825 |         22 |        205 |      1,052 |
| PYGAME (Files)                                                                                                                |          1 |          2 |          0 |          1 |          3 |
| PYGAME/game_ninja                                                                                                             |          5 |        306 |          6 |         57 |        369 |
| PYGAME/game_of_life                                                                                                           |          2 |         70 |          0 |         19 |         89 |
| PYGAME/game_shooter_2d                                                                                                        |          2 |         99 |          0 |         29 |        128 |
| PYGAME/game_with_random_levels                                                                                                |          1 |        271 |         16 |         75 |        362 |
| PYGAME/maze_generator                                                                                                         |          1 |         77 |          0 |         24 |        101 |
| SELENIUM                                                                                                                      |          2 |         26 |          4 |          8 |         38 |
| SELENIUM (Files)                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| SELENIUM/cookie_clicker                                                                                                       |          1 |         25 |          4 |          8 |         37 |
| SQL                                                                                                                           |          1 |         16 |          0 |         10 |         26 |
| SQL/test                                                                                                                      |          1 |         16 |          0 |         10 |         26 |
| URSINA                                                                                                                        |          4 |        222 |          6 |         71 |        299 |
| URSINA (Files)                                                                                                                |          1 |          2 |          0 |          1 |          3 |
| URSINA/1_mincruft                                                                                                             |          2 |        120 |          0 |         38 |        158 |
| URSINA/2_beat_saber                                                                                                           |          1 |        100 |          6 |         32 |        138 |
| z_old                                                                                                                         |         40 |        669 |        215 |        471 |      1,355 |
| z_old (Files)                                                                                                                 |          2 |         12 |          0 |          2 |         14 |
| z_old/learning_python                                                                                                         |         38 |        657 |        215 |        469 |      1,341 |
| z_old/learning_python/0_czyli_moje_laboratorium                                                                               |          1 |         13 |          6 |          9 |         28 |
| z_old/learning_python/10_błędy                                                                                                |          1 |         24 |          2 |         12 |         38 |
| z_old/learning_python/11_pliki_tekstowe                                                                                       |          1 |         27 |          4 |         12 |         43 |
| z_old/learning_python/12_dictionary                                                                                           |          1 |         21 |          2 |         20 |         43 |
| z_old/learning_python/13_tuple_i_wycinki_list                                                                                 |          1 |         22 |          4 |         21 |         47 |
| z_old/learning_python/14_edycja_stringow                                                                                      |          1 |         13 |          5 |         17 |         35 |
| z_old/learning_python/15_edycje_strinow                                                                                       |          1 |         17 |          0 |         15 |         32 |
| z_old/learning_python/16_czytanie_plikow_tekstowych_liczenie_znakow                                                           |          1 |         17 |          2 |         10 |         29 |
| z_old/learning_python/17_funkcja_anonimowa                                                                                    |          1 |         13 |          0 |         17 |         30 |
| z_old/learning_python/18_map_filter                                                                                           |          1 |          9 |          8 |         14 |         31 |
| z_old/learning_python/19_yield                                                                                                |          1 |         19 |          3 |         11 |         33 |
| z_old/learning_python/1_operacja_matematyczne                                                                                 |          1 |         26 |          0 |          9 |         35 |
| z_old/learning_python/20_decorator                                                                                            |          1 |         14 |          9 |         14 |         37 |
| z_old/learning_python/21_set                                                                                                  |          1 |         20 |         17 |         27 |         64 |
| z_old/learning_python/22_oop                                                                                                  |          1 |         14 |          9 |         12 |         35 |
| z_old/learning_python/23_dziedziczenie_klas                                                                                   |          1 |         19 |          4 |         14 |         37 |
| z_old/learning_python/24_metody_magiczne                                                                                      |          1 |         34 |         25 |         17 |         76 |
| z_old/learning_python/25_destrukcja_obiektu                                                                                   |          1 |         13 |         12 |          9 |         34 |
| z_old/learning_python/26_ukrywanie_zmiennych_i_metod                                                                          |          1 |         34 |         14 |         23 |         71 |
| z_old/learning_python/27_metoda_klasy_i_statyczna                                                                             |          1 |         16 |          7 |         11 |         34 |
| z_old/learning_python/28_właściwości_klasy                                                                                    |          1 |         15 |          8 |          8 |         31 |
| z_old/learning_python/29_wyrażenia_regularne                                                                                  |          1 |         18 |         13 |         15 |         46 |
| z_old/learning_python/2_if                                                                                                    |          1 |         15 |          1 |          9 |         25 |
| z_old/learning_python/30_wyrażenia_regularne2                                                                                 |          1 |         21 |         11 |          5 |         37 |
| z_old/learning_python/31_wyrażenia_regularne3                                                                                 |          1 |         17 |          9 |          7 |         33 |
| z_old/learning_python/32_wyrażenia_regularne4                                                                                 |          1 |         10 |          7 |          3 |         20 |
| z_old/learning_python/33_walidacja_emaila                                                                                     |          1 |          6 |          1 |          4 |         11 |
| z_old/learning_python/34_nielimitowana_ilość_argumentów_funkcji                                                               |          1 |         13 |          2 |          5 |         20 |
| z_old/learning_python/35_rozpakowanie_krotki_zamiana_zmiennych                                                                |          1 |         14 |          3 |          9 |         26 |
| z_old/learning_python/36_if_w_jednej_linii_inne_znaczenie_else                                                                |          1 |         16 |          5 |          9 |         30 |
| z_old/learning_python/3_operatory_logiczne                                                                                    |          1 |         17 |         13 |          7 |         37 |
| z_old/learning_python/4_while                                                                                                 |          1 |         12 |          0 |          3 |         15 |
| z_old/learning_python/5_gra_zgadywanie_liczby                                                                                 |          1 |         17 |          0 |          7 |         24 |
| z_old/learning_python/6_lista_slesh_tablica                                                                                   |          1 |         38 |          3 |         43 |         84 |
| z_old/learning_python/7_for                                                                                                   |          1 |         10 |          0 |          7 |         17 |
| z_old/learning_python/8_funkcje                                                                                               |          1 |         23 |          0 |         21 |         44 |
| z_old/learning_python/9_biblioteki                                                                                            |          1 |          6 |          0 |          6 |         12 |
| z_old/learning_python/trial                                                                                                   |          1 |          4 |          6 |          7 |         17 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                      | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/README.md                                                         | Markdown |          8 |          0 |          3 |         11 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/100OrdinaryNumbers.py                                  | Python   |          5 |          0 |          2 |          7 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/101Football.py                                         | Python   |          9 |          0 |          3 |         12 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/102Twins.py                                            | Python   |         14 |          0 |          6 |         20 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/103NewYearGarland.py                                   | Python   |          8 |          0 |          2 |         10 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/104HQ9+.py                                             | Python   |          7 |          0 |          4 |         11 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/105EvenOdds.py                                         | Python   |          5 |          0 |          1 |          6 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/106IchihimeandTriangle.py                              | Python   |          4 |          0 |          1 |          5 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/107GravityFlip.py                                      | Python   |          3 |          0 |          1 |          4 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/108FloorNumber.py                                      | Python   |          7 |          0 |          2 |          9 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/109Dubstep.py                                          | Python   |          3 |          0 |          1 |          4 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/10WordCapitalization.py                                | Python   |          7 |          0 |          4 |         11 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/110Puzzles.py                                          | Python   |          8 |          0 |          1 |          9 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/111GameWithSticks.py                                   | Python   |          5 |          0 |          2 |          7 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/112Candies.py                                          | Python   |          9 |          0 |          1 |         10 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/113IlyaandBankAccount.py                               | Python   |         16 |          0 |          7 |         23 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/114VasyaandSocks.py                                    | Python   |         10 |          0 |          1 |         11 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/115Multiplyby2divideby6.py                             | Python   |         17 |          0 |          3 |         20 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/116OddDivisor.py                                       | Python   |         11 |          0 |          2 |         13 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/117ConstructtheString.py                               | Python   |         13 |          0 |          3 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/118FavoriteSequence.py                                 | Python   |         14 |          0 |          3 |         17 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/119CaseoftheZerosandOnes.py                            | Python   |          5 |          0 |          3 |          8 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/11StonesontheTable.py                                  | Python   |          8 |          0 |          4 |         12 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/120VustheCossackandaContest.py                         | Python   |          5 |          0 |          1 |          6 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/121KanaandDragonQuestgame.py                           | Python   |         13 |          0 |          2 |         15 |
